0,1,2,3,4,5,6,7,8,9,10,11,12,label
2.2910345,111.09802,18.879042,18.566755,-5.782046,5.454164,-3.7631533,0.017412156,-2.5969954,-6.2414174,-1.1498584,-5.3655453,-6.341127,1
-140.88498,98.07729,3.1288128,12.508539,-10.12158,6.6940575,-2.1888676,3.7504506,0.93924683,10.310329,-6.88674,-1.1011641,-14.379908,1
-293.0904,151.07558,-37.57486,11.940549,5.9397817,25.477919,8.723654,-0.26150477,-4.4029913,0.58633703,3.3767266,3.8646874,7.1183,1
-346.1581,110.42847,-80.10007,2.5794563,14.813184,-37.771294,-0.186371,4.728774,-14.64205,6.9271746,-1.1972113,-7.5418997,2.5071898,1
-95.80131,76.97099,-13.40601,11.83759,-18.509804,1.1226593,-28.286467,-5.58314,-8.944058,-3.7089233,-6.9667516,-3.0406258,-14.950303,1
-210.61913,118.38377,-8.970756,13.443634,-15.794668,-5.1376896,-24.334507,-10.387431,-22.687363,-6.2989078,-13.397321,-2.617568,-6.337929,1
-332.2804,169.98543,-58.779617,6.0324116,19.854004,-33.157124,-5.201661,-8.073818,-24.142338,6.233959,4.1868577,-11.665452,-4.1806946,1
-168.34245,12.649352,-7.4372334,-7.022666,-18.461609,-15.929459,-15.644927,-11.62985,-12.05311,-6.8052855,-29.6908,-3.908552,11.660777,1
-153.98257,87.24811,-105.160576,-35.757744,-34.68359,-20.201277,-33.151825,-2.735829,-19.560427,1.1722605,-0.9555502,-6.164387,-14.10816,1
-208.32906,-3.4052427,-16.554176,-5.220428,-22.149822,11.996453,9.56622,6.685035,0.7326078,7.6761293,-3.9300926,-4.30663,-4.6240377,1
-105.35098,143.75967,-6.6714077,3.4344716,-7.90172,7.6398916,-19.680271,-6.684577,-7.039787,1.5087248,-4.12342,1.6570017,2.1845791,1
39.336506,80.632675,-8.04779,28.060223,0.6705307,11.360311,5.476139,12.803619,8.58877,14.690285,10.955296,9.733461,-3.3330057,1
-58.80709,162.10072,-57.3599,17.977486,-20.835135,-17.928751,-22.32034,-18.429312,-17.749771,-0.4996964,-16.08774,-2.0554936,-14.117331,1
-216.44481,24.241938,-89.382256,-17.66897,-34.133755,-50.73525,-44.512283,-16.797173,-11.118251,1.6997625,-18.750456,-2.7942781,-3.135048,1
-47.42951,113.26432,-30.468412,41.05034,-10.647885,23.78266,-7.7972856,14.710963,2.2321885,8.428211,-12.2109375,2.1898773,-5.6944766,1
-218.77315,97.52934,-47.001465,5.100459,-1.4361432,12.538884,13.232086,-14.99321,-15.347852,4.4602585,-9.306328,-5.014745,-1.8480462,1
-97.86686,156.90485,-82.529,1.2957988,-0.27258053,-15.849559,13.666752,-7.582132,-13.537566,16.382076,-9.863582,-0.7840397,11.151363,1
-203.08342,175.0143,-109.17694,-18.065155,18.06534,-39.325897,-15.03608,-10.215813,-25.8399,5.260088,7.8151526,-6.215464,-4.155249,1
-70.50987,98.94506,-18.046356,24.9602,0.10493798,-0.9392184,-18.542665,-3.5749807,-14.092381,-0.19746862,-10.821479,-3.5172276,-6.8464046,1
-144.75443,26.08779,-24.790674,31.102434,-34.602127,-4.6883473,-9.808592,3.8119686,5.1348324,-8.63488,-11.533003,2.3031008,-4.1996274,1
-164.59384,86.32901,-37.59713,22.261591,-21.684992,-7.577853,-26.030704,3.5952299,-20.818258,0.8446202,-16.541641,3.3541486,-6.203367,1
-103.45717,68.0832,-37.803844,44.78095,-26.996752,2.9059384,-0.49172607,-16.6635,-13.856815,1.6256168,7.754412,14.331824,6.4745836,1
-345.82236,24.577051,-29.6985,-8.483309,-21.010471,-10.892938,-8.052584,-13.677763,-4.8007145,5.4915442,-18.44049,-2.8614035,-5.04496,1
